app_category,num_episodes,total_steps,total_elements_seen,avg_steps_per_episode,avg_elements_per_episode,avg_elements_per_step_weighted,avg_elements_per_step_unweighted
audio recorder,2,26,0,13.0,0.0,0.0,0.0
broccoli app,13,211,0,16.2308,0.0,0.0,0.0
camera,3,22,0,7.3333,0.0,0.0,0.0
chrome,3,60,0,20.0,0.0,0.0,0.0
clipper,3,31,0,10.3333,0.0,0.0,0.0
clock,4,22,0,5.5,0.0,0.0,0.0
contacts,3,24,0,8.0,0.0,0.0,0.0
dialer,1,3,0,3.0,0.0,0.0,0.0
files,2,2,0,1.0,0.0,0.0,0.0
joplin,4,23,0,5.75,0.0,0.0,0.0
markor,14,168,0,12.0,0.0,0.0,0.0
open tracks sports tracker,6,32,0,5.3333,0.0,0.0,0.0
osmand,3,35,0,11.6667,0.0,0.0,0.0
pro expense,9,115,0,12.7778,0.0,0.0,0.0
settings,13,119,400,9.1538,30.7692,3.3613,3.1502
simple calendar pro,17,160,0,9.4118,0.0,0.0,0.0
simple draw pro,1,18,0,18.0,0.0,0.0,0.0
simple gallery pro,4,55,0,13.75,0.0,0.0,0.0
simple sms messenger,5,61,0,12.2,0.0,0.0,0.0
tasks,6,28,949,4.6667,158.1667,33.8929,33.8052
vlc,3,60,1009,20.0,336.3333,16.8167,16.8167
