app_combo,num_episodes,total_steps,total_elements_seen,avg_steps_per_episode,avg_elements_per_episode,avg_elements_per_step_weighted,avg_elements_per_step_unweighted
audio recorder,2,26,0,13.0,0.0,0.0,0.0
broccoli app,12,191,0,15.9167,0.0,0.0,0.0
broccoli app + simple gallery pro,1,20,0,20.0,0.0,0.0,0.0
camera,2,19,0,9.5,0.0,0.0,0.0
camera + clock + contacts + settings + dialer,1,3,0,3.0,0.0,0.0,0.0
chrome,3,60,0,20.0,0.0,0.0,0.0
clipper,1,10,0,10.0,0.0,0.0,0.0
clock,3,19,0,6.3333,0.0,0.0,0.0
contacts,2,21,0,10.5,0.0,0.0,0.0
files,2,2,0,1.0,0.0,0.0,0.0
joplin,4,23,0,5.75,0.0,0.0,0.0
markor,10,103,0,10.3,0.0,0.0,0.0
markor + clipper,1,9,0,9.0,0.0,0.0,0.0
markor + simple sms messenger,1,18,0,18.0,0.0,0.0,0.0
markor + vlc,1,20,0,20.0,0.0,0.0,0.0
open tracks sports tracker,6,32,0,5.3333,0.0,0.0,0.0
osmand,3,35,0,11.6667,0.0,0.0,0.0
pro expense,8,107,0,13.375,0.0,0.0,0.0
pro expense + simple gallery pro,1,8,0,8.0,0.0,0.0,0.0
settings,12,116,400,9.6667,33.3333,3.4483,3.4127
simple calendar pro,17,160,0,9.4118,0.0,0.0,0.0
simple draw pro,1,18,0,18.0,0.0,0.0,0.0
simple gallery pro,1,9,0,9.0,0.0,0.0,0.0
simple gallery pro + markor,1,18,0,18.0,0.0,0.0,0.0
simple sms messenger,3,31,0,10.3333,0.0,0.0,0.0
simple sms messenger + clipper,1,12,0,12.0,0.0,0.0,0.0
tasks,6,28,949,4.6667,158.1667,33.8929,33.8052
vlc,2,40,1009,20.0,504.5,25.225,25.225
